tags,pt-br,es,en,ru,de,status
terms.garanties.p3,"Embora os serviços propostos pelo site tenham como objetivo prover ajuda a fumantes, os mesmos são livres e encorajados a consultar profissionais de saúde. Todos os usuários devem utilizar este assumindo seus próprios riscos.","Aunque los servicios propuestos por el sitio tengan como objetivo proveer ayuda a fumadores, los usuarios son libres y motivados a consultar profesionales de la salud. Todos los usuarios deben utilizar este sitio asumiendo sus propios riesgos.","Although the services suggested by the website aim to provide support to smokers, they are free and encouraged to consult health professionals. All users using the website do so at their own risk.","Несмотря на то, что сервис, пердоставленный сайтом, имеет цель предоставить помощь курильщикам, последние имеют полное право проконсультироваться с профессионалами здравоохранения. Все пользователи сайта делают это на свой риск.","Auch wenn alle Dienste dieser Website darauf ausgerichtet sind, Raucher zu unterstützen, ist es Ihnen freigestellt, zusätzlich von Spezialisten Rat einzuholen. Jeder Benutzer handelt in dieser Hinsicht auf eigene Gefahr.",ok
terms.thirdparty.h3,Serviços e Materiais de Terceiros,Servicios y Materiales de Terceros,Services and Materials from a Third Party,Услуги и Материалы от Третьих Лиц,Dienste und Materialien Dritter,ok
terms.thirdparty.p,As informações contidas neste site podem incluir serviços e informações de terceiros. O conteúdo e serviços de terceiros serão disponibilizados com aprovação prévia.,Las informaciones contenidas en este sitio web pueden incluir servicios e informaciones de terceros. El contenido y servicios de terceros estará disponible con aprobación previa.,Information within this website might include services and information from a third party. The content and services from a third party will be made available after previous approval.,Информация на этом сайте может включать в себя информацию от третьего лица. Содержание и услуги от третьего лица будут доступны после рассмотрения.,Informationen dieser Website beinhalten möglicherweise Dienste und Informationen Dritter. Inhalt und Dienste Dritter werden mit vorheriger Zustimmung zugänglich gemacht.,ok
terms.links.h3,Links,Links,Links,Ссылки,Links,ok
terms.links.p,"Este site contém links para outros sites que não se encontram sob o controle ou é mantido por nós. Os links de terceiros são disponibilizados para conveniência e informação. Caso o usuário acesse estas informações, os riscos de utilização são de inteira responsabilidade do usuário. O fato de um site de terceiros estar ligado a este, não implica necessariamente em relação de patrocínio ou que o site de terceiro seja afiliado deste.","Está página web contiene enlaces para otros sitios web que no se encuentran bajo el control de nosotros. Los sitios web de terceros se encuentran disponibles para conveniencia e información. En caso que el usuario acceda a estas informaciones, los riesgos de uso son de entera responsabilidad del usuario. El hecho que un sitio de terceros esté conectado a este, no implica necesariamente relación de patrocinio o que el sitio web del tercero sea afiliado de este. ","The current website presents links to other websites which are not under our control or are not maintained by us. The third party's links are made available for convenience and information. If the user accesses such information, the risks of use lie entirely on his/her responsibility. The fact that a website from a third party is linked to the current one does not necessarily imply a sponsorship relationship or does not mean the website from the third party is a partner of the present website.","Данный сайт содержит ссылки на другие сайты, которые неподвластны нам. Ссылки на сайты третьих лиц доступны для удобства и получения больше информации. Если пользователь получает доступ к этой информации, то он/она несет полную ответственность за риски, связанные с использованием неправдивой информации. Факт того, что сайт третьих лиц связан с нашим сайтом, не подразумевает существоваие спонсорских отношений и не означает, что сайт третьих лиц вляется партнером данного сайта. ","Diese Website verweist auf Links anderer Websites, deren Inhalt wir nicht verwalten und nicht kontrollieren. Links Dritter dienen dem Benutzer als zusätzliche Informationsquelle. Bei Aufruf dieser Websites haftet allein der Benutzer. Der Hinweis auf verwandte Websites bedeutet keineswegs eine kommerzielle Beziehung, Sponsoring oder ähnliches.",ok
terms.changes.h3,"Mudanças de Informações, Produtos e Serviços","Cambios de Informaciones, Productos y Servicios","Information, Products and Services Changes","Изменения в Информации, Продуктах и Сервисе.","Änderungen von Informationen, Produkten und Diensten",ok
terms.changes.p,"Informações, produtos e serviços publicados neste site são sujeitos a alterações sem prévias notícias.","Informaciones, productos y servicios en este sitio web se encuentran sujetos a modificaciones sin previo aviso.","Information, products and services published in the current website are subjected to changes without previous notifications.","Информация, продукты и сервис на данном сайте могут быть изменены без предварительного оповещения.","Auf dieser Website veröffentlichte Informationen, Produkte und Dienste unterliegen gelegentlichen Aktualisierungen ohne vorherige Ankündigungen.",ok
terms.info.h3,Informação disponibilizada pelo site,Información disponible por el sitio web. Información proporcionada por el sitio web,Information available in the website,"Информация, доступная на этом веб-сайте.",Informationen dieser Website,ok
terms.info.p,"Pessoas inscritas no programa Visa sem Tabaco disponibilizam informações de seu uso Uma vez disponibilizada, a informação é de propriedade do usuário, podendo ser reproduzida, publicada, transmitida, disponibilizada, sujeita as obrigações da Política de Privacidade.","Personas inscritas en el programa Viva sin Tabaco ponen a disposición informaciones relacionadas al contenido de forma voluntaria. Una vez disponible la información es de propiedad del usuario, puede ser reproducida y sujeta a las obligaciones de la Politica de Privacidad.","People registered in the Live without Tobacco program voluntarily supply information regarding the website content. Once it is available, information becomes a property of the user, thus it can be reproduced, published, transmitted, made available, subjected to privacy policies obligations.","Люди, зарегистрированные в программе Живи без Табака, добровольно предоставляют информацию для содержания сайта. Как только данные предоставлены, информация становится собственнотью пользователя, а потому может быть воспроизведена, опубликована, передана, сделана доступной, подвержена обязательствам правил приватности.","Angemeldete Nutzer des Programms Lebe ohne Tabak hinterlassen während der Benutzung unfreiwillig Informationen. Diese sind Eigentum des Nutzers, dürfen jedoch, unter Berücksichtigung des Datenschutzes, reproduziert oder veröffentlicht werden.",ok
terms.license.h3,Licença,Licencia,Licence,Лицензия,Lizenz,ok
terms.license.pa,"Todo conteúdo do site, incluindo os programas, design, textos e gráficos são licenciados pela Licença Pública Geral - GNU, garantindo a liberdade de usar o conteúdo do programa para qualquer propósito, modificar o programa, de compartilhar com seus vizinhos e amigos e compartilhar as mudanças que você fizer.","Todo el contenido del sitio, incluyendo los programas, diseños, textos y gráficos son permitidos por la Licencia Pública General - GNU, garantizando la libertad de usar el contenido para cualquier propósito, modificar el programa, compartir con sus vecinos y amigos, así como compartir los cambios que usted haga.","All the content within the website, including programs, design, texts and graphics are licensed by General Public License - GNU. It guarantees the freedom of: using the program's content for any purpose, modifying the program, sharing it with neighbors and friends.","Все содержание сайта, включая программы, дизайн, текст и графика, лицензтровано General Public License - GNU. GNU гарантирует свободу использования содежания программы для любых целей, изменения программы, совместное использование с друзьями.","Jeglicher Inhalt der Website, inklusive Programme, Design, Texte und Grafiken sind von der GNU (General Public License) lizensiert. Sie garantiert eine freie Nutzung des Inhalts für jegliche Zwecke und Anpassungen des Programms sowie seine Weiterverbreitung.",ok
terms.license.pb,Ver a licença GPL GNU completa.,Ver la licencia GNU GPL completa.,See the complete GPL GNU license.,Посмотреть полную GPL FNU лицензию.,Die gesamte GNU anschauen,ok
terms.trademark.h3,Marcas Registradas,Marcas Registradas,Trademarks,Торговые марки,Rechtlich geschützte Marken,ok
terms.trademark.p,"Este site contém marcas e logomarcas de terceiros registradas, protegidas por lei. Não é permitido o uso delas sem consentimento prévio.",Este sitio contiene marcas y logomarcas de terceros registradas. Protegidas por la ley. No es permitido el uso de estas sin previo consentimiento.,This site contains trademarks and logos of third parties which are registered and protected by law. Using them without consent is not permitted.,"Этот сайт содержит торговые марки и логотипы третьих лиц, которые зарегистрированы и находятся под защитой закона. использование без разрешения запрещено.","Diese Website enthält Marken und Logos Dritter, die rechtlich geschützt sind. Ihre Verwendung ist ohne Weiteres nicht erlaubt.",ok
terms.end.h3,Término,Termino Cancelación,End of use,Аннулирование,Schlussfolgerung,ok
terms.end.p,"Caso o usuário desrespeite os termos e condições do site, seu acesso pode ser limitado ou proibido.","En caso que el usuario irrespete los terminos y condiciones del sitio web, su acceso puede ser limitado o prohibido.","If the user breaks the website's terms and conditions, his/her access may be limited or forbidden.","Если пользователь сайта нарушает правила и условия, его/ее доступ к сайту может быть ограничен или даже полностью запрещен.",Im Falle des Missbrauchs der Nutzungsbedingungen kann der Zugriff eingeschränkt oder verboten werden.,ok
###################################,,,,,,ok
# SITE POLICY,,,,,,ok
###################################,,,,,,ok
pol.titlepage,Política do site | Viva sem tabaco,Políticas del Sitio web | Viva sin tabaco,Policy I Live without Tobacco,Принципы и Нормы | Живи без Табака,Allgemeine Geschäftsbedingungen | Lebe ohne Tabak,ok
pol.version,Versão: 1.1,Versión: 1.1,Version: 1.1,Версия: 1.1,Version: 1.1,ok
pol.privacy.h1,Política de Privacidade,Política de privacidad,Privacy Policy,Принципы Приватности,Datenschutz,ok
pol.privacy.p,"Nós nos preocupamos com a proteção da privacidade dos usuários e adotamos a política de proteger informações sobre indivíduos. Esta política descreve as informações coletadas pelo site, como a informação é utilizada, como a informação é revelada, a segurança da informação, e como as informações podem ser acessadas e corrigidas a respeito da privacidade do usuário.","Nosotros nos preocupamos por la protección de la privacidad de los usuarios y adoptamos la política de proteger informaciones sobre los invididuos. Esta política describe las informaciones recolectadas por el sitio web, la manera como la información es utilizada y revelada, la seguridad de la información, y como las informaciones pueden ser usadas correctamente en cuanto a la privacidad del usuario se refiere.","We wish to protect users' privacy and we have adopted the policy of protecting information about individuals. Such policy describes information gathered by the website, how the information is used, and how information can be accessed and corrected in order to keep users' privacy.","Мы хотим защитить приватность пользователей, потому мы приняли некоторые нормы защиты информации отдельных лиц. Эти нормы описывают информацию, собранную сайтом, как эта информация использована, а также как получить доступ к информации и корректировать ее для того, чтобы сохранить приватность пользователей.","Der Schutz Ihrer Daten ist für uns von großer Bedeutung. Wir setzen uns dafür ein und verwalten Ihre Informationen dementsprechend. Dies gilt für alle Informationen dieser Website. Die Nutzungsbedingungen beziehen sich auf alle auf der Website dargestellten, entwickelten oder gesicherten Informationen, und wie diese verwendet oder verändert werden, unter Beachtung des Datenschutzes.",ok
pol.pdata.h3,1. Coleta das Informações Pessoais,1. Recolección Recopilación de Informaciónes Personales,1. Collecting personal information,1. Сбор личной информации,1. Archivierung der persönlichen Informationen,ok
pol.pdata.p1,"Você pode fornecer informações pessoais durante a utilização dos serviços oferecidos por este site. Esta informação pessoal pode incluir detalhes como seu nome, idade, sexo e formas de contato. Produtos e serviços podem exigir outros tipos de informação.","Usted puede proporcionar informaciones personales durante el uso de los servicios ofrecidos por este sitio web. Esta información puede incluir detalles como nombre, edad, sexo y formas de contacto. Los productos y servicios pueden exigir otro tipo de información.","You may supply personal information during the use of services offered by the current website. Such personal information might include details such as your name, age, sex, and contact information. Products and services might require other sorts of information.","Вы можете предоставить личную информацию во время пользования услугами данного сайта. Личная информация может включать в себя такие детали как Ваше имя, возраст, пол и контактную информацию. Продукты и услуги могут требовать другие виды информации.","Bei der Benutzung ist es möglich, dass Sie persönliche Informationen generieren. Sie können Daten wie Ihren Namen, Alter, Geschlecht und Kontaktformen beinhalten. Produkte und Dienste können weitere Informationen anfordern.",ok
pol.pdata.p2,A escolha das informações fornecidas compete exclusivamente ao usuário do site. Utilizamos as informações para gerar informações e melhorar a qualidade dos serviços prestados.,La elección de las informaciónes proporcionadas  conciernen  exclusivamente al usuario del sitio web. Utilizamos las informaciónes para generar informaciónes y mejorar la calidad de los servicios prestados.,Choosing the information to be supplied is the users' responsibility only. We use the information in order to generate information and then enhance the quality of the offered services.,"Вобор информации, которая может быть дана сайту, находится только под ответственностью пользователя. Мы используем информацию для генерирования информации и последующего улучшения предоставленных услуг.",Das Freigeben von Informationen liegt in Ihrem Ermessen. Wir benutzen diese zur Informationserweiterung und Verbesserung der Qualität unserer Dienste.,ok
pol.pdata.p3,"Este site também pode coletar e arquivar informações a respeito da visita do website, incluindo:","Este sitio web también puede recopilar y almacenar informaciónes sobre la visita a la página web, incluyendo:","The current website can also gather and file information regarding the website visitation, including:","Данный сайт также может собирать и документировать информацию о посещении сайта, включая:",Diese Website kann nach der Verwendung Informationen sammeln und archivieren. Sie beinhalten:,ok
pol.pdata.li1,Nome e domínio onde você acessou a internet;,Nombre y lugar desde donde usted accede a internet.,Name and location where you access the internet from;,"Имя и место, где вы получаете доступ к интернету;","Name und Ort, an dem Sie auf das Internet zugegriffen haben;",ok
pol.pdata.li2,Data e a hora do seu acesso;,Fecha y hora de acceso,Date and time the access was done at;,"Дата и время, когда доступ был получен;",Datum und Uhrzeit des Zugriffs;,ok
pol.pdata.li3,O endereço de internet do site onde você foi direcionado ao site;,La dirección en internet de la página web que lo llevó al sitio web,The website's internet address which led you to the website;,"Адрес интернет-сайта, который привел Вас к нашему сайту;","Die Internetadresse, von der Sie auf die Website geleitet wurden;",ok
pol.pdata.li4,As páginas que você acessou enquanto utilizava o site.,Las páginas a las que usted accedió mientras utilizaba el sitio web.,The pages you had accessed while using the website.,"Страницы, которые вы посетили во время пользования сайтом.","Andere Websites, die Sie währenddessen benutzen.",ok
pol.pdata.p4,Estas informações não identificam usuários e são utilizadas para medir o número de visitantes do site e como ele é navegado. Esta informação é utilizada para fazer o site mais útil para você.,Estas informaciones no identifican usuarios e son utilizadas para medir el número de visitantes que acceden al sitio web y como se está navegando en el mismo. Esta información es utilizada para hacer el sitio mas util para usted.,These information do not identify users and they are used for measuring the number of visitors in the website and how they browse it. This information is used to make the website more useful to you.,"Эта информация не идентифицирует пользователей и используется для оценки количества посетителей сайта и того, каким образом сайт используется. Такова информация используется для того, чтобы сделать сайт более полезным для Вас.","Diese Informationen identifizieren nicht die Benutzer, sie werden lediglich verwendet, um Benutzerzahlen und die Art der Benutzung festzuhalten. Diese Erkenntnisse sollen zu einer noch nützlicheren Website führen.",ok
pol.pdata.p5,Este site também coleta informações de pessoas registradas ou visitantes com o propósito de melhorar a qualidade e efetividade. O administrador agradece todo tipo de feedback sobre todos os aspectos.,Este sitio web también recopila informaciónes de personas registradas o visitantes con el propósito  de mejorar la calidad y efectividad. El administrador agradece todo tipo de comentarios sobre todos los aspectos.,This website also gathers information from registered people or from visitors in order to enhance its quality and effectiveness. The administrator appreciates feedback on all aspects of the program.,"Сайт также собирает информацию от зарегистрированных пользователей и просто посетителей для того, чтобы улучшить свое качество и эффективность. Администраторы ценят отзывы, касающиеся всех аспектов программы.  ",Das Sammeln von Informationen von Besuchern und Nutzern dieser Website zielt auch auf eine bessere Qualität und Wirksamkeit ab. Der Ersteller bedankt sich für jegliche Art Feedback.,ok
pol.datause.h3,2. Como sua informação pessoal é utilizada?,2. ¿Cómo su información personal es utilizada? ¿Cómo se utiliza su información personal?,2. How is your personal information used?,2. Как Ваша персональная информация используется?,2. Wie werden Ihre persönlichen Daten verwendet?,ok
pol.datause.p1,As informações pessoais obtidas através do site são utilizadas para:,Las informaciónes personales obtenidas a través de la página web son utilizadas para:,Personal information gotten from the website is used for:,"Персональная информация, полученная от сайта. используется для:",Ihre zur Verfügung gestellten Daten dienen dazu:,ok
pol.datause.li1,Fornecer serviços a você;,Proporcionar servicios para usted;,Providing services to you;,Предоставления Вам услуг;,Ihnen bessere Dienste bereitzustellen;,ok
pol.datause.li2,Fornecer informações e outros tipos de comunicado;,Proporcionar informaciónes y otros tipos de comunicados;,Supplying information and other sorts of reports;,Генерирования развных отчетов;,Sie mit Informationen und anderen Nachrichten zu versorgen;,ok
pol.datause.li3,Envolver você em iniciativas do site;,Involucrarlo a usted en iniciativas del sitio. Usted participa en las iniciativas del sitio;,Involving you in the website's initiatives,Вовлечения Вас в инициативы сайта;,Sie in Innitiativen der Website einzubinden;,ok
pol.datause.li4,Analisar padrões e tendências da utilização do site.,Analizar patrones y tendencias del uso del sitio web. Analizar los patrones y tendencias de uso del sitio web.,Analyzing patterns and trends regarding the website use.,Анализа трендов в пользовании сайтом.,Muster und Tendenzen der Benutzung zu analysieren.,ok
pol.datause.p2,"Algumas formas de uso das informações descritas acima podem ser fornecidas por terceiros, autorizados a utilizar estas informações para estas propostas.",Algunas formas de uso de las informaciónes descritas anteriormente pueden ser proporcionadas por terceros autorizados a utilizar estas informaciónes para estas propuestas.,Some ways of using the information described above can be supplied by third parties that are authorized to use such information for these proposals.,"Некоторые способы использования информации, описанной выше, могут быть дополнены третьими лицами, которым разрешено использовать такую информацию в своих целях.","Einige oben beschriebene Formen der Verwendung ihrer Informationen können an Dritte gelangen, mit der Erlaubnis sie für oben genannte Zwecke zu verwenden.",ok
pol.datause.p3,"As informações coletadas para este site também pode ser utilizada para determinar padrões demográficos de uso. Informações pessoais não são utilizadas para este propósito. Esta informação anônima é, então, utilizada para melhorar o site e nossos serviços. Estas informações não serão transmitidas para terceiros.","Las informaciones recolectadas para este sitio también pueden ser utilizadas para determinar patrones demográficos de uso. Las informaciones personales no son utiizadas para este propósito, Esta información anónima es, entonces, usada para mejorar el sitio y nuestros servicios. La información no será transmitida a terceros.","Information collected for the current website can also be used in order to set use demographic patterns. Personal information are not used for such purpose. This anonymous information is, then, used to enhance the website and our services. These information are not broadcasted to third parties.","Информация, собранная для этого сайта, также может быть использована для установления демографических трендов. Личная информация не может быть использована для этих целей. Эта анонимная информация, в свою очередь, используется для улучшения сайта и наших услуг. Личная инфомация не передается третьим лицам.","Die gesammelten Daten können ebenso dazu verwendet werden, demographische Muster herzustellen.Persönliche Daten werden hierzu nicht verwendet. Die anonymisierten Informationen dienen der Verbesserung unserer Dienste. Diese wiederum werden nicht an Dritte weitergeleitet.",ok
pol.datause.p4,"Além dos propósitos descritos acima, o site não utilizará suas informações sem consentimento prévio. A única exceção a esta regra será quando evidenciado o propósito de prevenir algum dano à saúde ou pela Justiça.","Además de los propósitos descritos anteriormente, el sitio web no utilizará sus informaciones sin previo consentimiento. La única excepción a esta regla será cuando sea necesario prevenir algún daño a la salud o por requerimientos de la Justicia.","Besides the purposes described above, the website won't use your information without previous consent. The only exception to this rule will be applied when the information is required by the Justice.","Кроме целей, упомянутых выше, веб-сайт не будет использовать Вашу информацию  без предварительного разрешения. Исключение из этого правила будет использовано, если информация будет востребована органами юстиции.","Neben den oben angegebenen Zwecken ist zu vermerken, dass Ihre Informationen nicht ohne vorherige Zustimmung verwendet werden. Die einzige Ausnahme besteht, wenn ernstzunehmende gesundheitliche oder juristische Schäden anzunehmen sind.",ok
pol.datasec.h3,3. Segurança de seus dados,3. Seguridad de sus datos,3. Safety to your data,3. Безопасность Ваших данных,3. Sicherheit Ihrer Daten,ok
pol.datasec.p1,"O site implementa procedimentos para garantir a segurança das informações coletadas, evitando que as informações sejam perdidas, destruídas, utilizadas ou acessadas de forma não autorizada. As informações fornecidas por você serão acessadas somente por pessoal autorizado.","El sitio web implementa los procedimientos para garantizar la seguridad de las informaciónes recolectadas, evitando que sean perdidas, destruídas, utilizadas o manipuladas de forma no autorizada. La información proporcionada por usted será manejada solamente por personal autorizado","The website implements procedures to ensure security of the collected information, thus avoiding losing, destroying, using and accessing information without previous consent. Information supplied by you will be accessed by authorized personnel only.","Сайт применяет особые процедуры, чтобы гарантировать безопасность собранной информации, а именно: избежание потери, уничтожения, использования и получения доступа к информации без предварительного разрешения. Доступ к информации, данной Вами, будет иметь только уполномоченный персонал.   ","Die Website verwendet Verfahren, um die Sicherheit Ihrer Daten zu garantieren. Dabei soll ein Datenverlust, -zerstörung oder -missbrauch vermieden werden. Ihre freigegebenen Daten werden nur von autorisiertem Personal verwendet.",ok
pol.datasec.p2,"Entretanto, nenhuma transmissão de dados na internet ou informação contida em nossos servidores acessada via internet são totalmente seguras. Estas atividades são de sua inteira responsabilidade.","Sin embargo, ninguna transmisión de datos  mediante internet o contenida en nuestros servidores son totalmente seguros. Estas actividades son de su entera responsabilidad.","However, no data broadcasting in the internet or information within our services accessed via internet are totally safe. The user participates in the website entirely at his or her own risk.","Однако, никакие данные, передаваемые через интернет или информация на нашем сайте, доступная через инетрнет, не являются полностью безопасными. Пользователь использует сайт на свой риск. ",Trotzdem ist die Übermittlung Ihrer Daten im Internet oder die auf unserer Seite aufgerufene Information vollkommen sicher. Alle Aktivitäten liegen allein in Ihrer Verantwortung.,ok
pol.secrecy.h3,4. Quebra de sigilo das informações,4. Violación de la confidencialidad de las informaciónes,4. Breach of confidentiality regarding information,4. Нарушение конфиденциальности информации,4. Verletzung der Vertraulichkeit von Informationen,ok
pol.secrecy.p,As informações coletadas através do site não serão reveladas ou repassadas a terceiros a menos que esteja de acordo com esta política de privacidade. Informações podem ser fornecidas a terceiros somente com autorização e um propósito particular.,"Las informaciones recolectadas a través del sitio web no serán reveladas o repadadas por terceros, a menos que esté de acuerdo con esta política de privacidad. Informaciones pueden ser proporcionadas a terceros solamente con autorización y un propósito particular.",Information collected through the website will not be disclosed or sent to third parties unless it is in accordance with such privacy policy.,"Информация, полученная через сайт, не будет разглашена или передана третьим лицам, если только такие действия не соответствуют данным нормам приватности.","Alle auf dieser Website gesammelten Informationen werden nicht an Dritte übermittelt; es sei denn, die Datenschutzrichtilinien werden eingehalten. Informationen können Dritten nur mit einer Autorisierung und für einen bestimmten Zweck bereitgestellt werden.",ok
pol.links3rd.h3,5. Links para sites de terceiros,5. Links a sitios web de terceros,5. Links to third parties' websites.,5. Ссылки на веб-сайты третьих лиц,5. Links zu Websites Dritter,ok
pol.links3rd.p,Este site contém links para outros sites. Nós não nos responsabilizamos pelas práticas de privacidade e conteúdo de sites de terceiros. É de sua responsabilidade pesquisar a política de privacidade destes sites.,Este sitio web contiene links a otros sitios web. Nosotros no somos responsables por las prácticas de privacidad y contenido de sitios web de terceros. Es de su responsabilidad investigar la política de privacidad de estos sitios.,This website comprises links to other websites. We are not responsible for the privacy practices and contents from third parties' websites. It is of your entire responsibility searching for the privacy policies of these websites.,Этот сайт содержит ссылки на другие сайты. Мы не ответственны за нормы приватности и содержание сайтов третьих лиц. Поиск норм приватности на их сайтах является Вашей задачей.,"Diese Website enthält Links zu anderen Websites. Wir übernehmen keine Verantwortung für die Sicherheit Ihrer Daten sowie den Inhalt dieser Websites. Es liegt allein in Ihrer Verantwortung, sich über die Regeln des Datenschutzes auf diesen Seiten zu informieren.",ok
pol.changes.h3,6. Mudanças no Termo de Privacidade,6. Cambios en el término de privacidad. Cambios en la Política de Privacidad,6. Changes on the Privacy Term,6. Изменения в Правилах Приватности,6. Änderungen im Bereich Datenschutz,ok
pol.changes.p,"Este site pode alterar o termo de privacidade, colocando uma nova versão no site. Você deve consultar esta página ocasionalmente para se familiarizar com possíveis mudanças. Esta política de privacidade pode mudar, a partir da introdução de novas regulações e leis.",Usted debe colsultar esta página para que conozca los posibles cambios.  Esta política de privacidad puede cambiar  a partir de la introducción de nuevas regulaciones y leyes.,The current website can change the privacy term by launching a new version on the website . You must check on this page every once in a while in order to be familiar with possible changes. Such privacy policy may change due to the introduction of new laws and regulations.,"Данный сайт может изменить правила приватности, запустив новую версию сайта. Вы должны проверять эту страницу время от времени для того, чтобы ознакомиться с возможными изменениями. Данные нормы приватности могут измениться в случае появления новых законов и регламентов.","Diese Website kann Ihre Datenschutzbestimmungen verändern, indem eine neue Version hochgeladen wird. Sie sollten diese Seite gelegentlich besuchen, um sich mit möglichen Änderungen vertraut zu machen. Diese Datenschutzrichtlinien können verändert werden, angefangen bei der Einführung von neuen Regeln und Gesetzen.",ok
pol.contact.h3,7. Contato,7. Contacto,7. Contact,7. Контакт,7. Kontakt,ok
pol.contact.p,"Caso você possua alguma questão, entre em contato conosco a partir do endereço encontrado neste site.","En caso que usted tenga alguna pregunta, entre en contacto con nosotros mediante la dirección que se encuentra en la página web.","In case you have any question, get in touch with us through the address found on the website.","Если у Вас есть какие-любо вопросы, свяжитесь с нами по-адресу, который можно найти на сайте.",Bei Unklarheiten kontaktieren Sie uns über die auf der Website verfügbaren Kontaktdaten.,ok
###################################,,,,,,ok
# LOGIN.XHTML,,,,,,ok
###################################,,,,,,ok
login.pagetitle,Login | Viva sem tabaco,Login | Viva sin tabaco,Login I Live without Tobacco,Вход | Живи без Табака,Login | Lebe ohne Tabak,ok
login.stayconnected,Continuar conectado,Continuar conectado.,Keep me connected,Звпомнить,Angemeldet bleiben,ok
login.couldntaccess,Não consegue acessar sua conta?,¿No consigue acceder a su cuenta?,Can't access your account?,Не можете получить доступ к профайлу?,Sie können sich nicht anmelden?,ok
pronto.intro.titlepage,Início,Inicio,Start,Начать,Start,ok
vivasemtabaco.title,Viva sem Tabaco | Programa gratuito para o tratamento do tabagismo,Viva sin tabaco | Programa gratuito para el tratamiento del tabaquismo,Live without Tobacco I Free program for treating tobacco use,Живи без Табака | Бесплатная программа для лечения табакозависимости,Lebe ohne Tabak | kostenloses Programm zur Behandlung der Tabakabhängigkeit,ok
login.cadastro.h1,Cadastro,Registro,Sign up,Зарегистрироваться,Anmeldung,ok
login.cadastro.p.1,"É necessário criar uma conta para usar o Viva sem Tabaco. Com os dados coletados a partir das contas, nós podemos avaliar melhor o programa e  melhorá-lo cada vez mais. Assim, você pode ajudar outros fumantes a pararem.","É necessário criar uma conta para usar o Viva sem Tabaco. Com os dados coletados a partir das contas, nós podemos avaliar melhor o programa e  melhorá-lo cada vez mais. Assim, você pode ajudar outros fumantes a pararem.","You need to create an account to use the program. We collect your data in order to evaluate and keep improving Live without Tobacco. So, when you use it, you are helping other smokers quitting.","Для пользования программы, Вы должны создать аккаунт. Мы используем Ваши данные для улучшения программы Живи без Табака. Поэтому, когда Вы пользуетесь программой, Вы помогаете другим курильщикам бросить курить.","You need to create an account to use the program. We collect your data in order to evaluate and keep improving Live without Tobacco. So, when you use it, you are helping other smokers quitting.",needs translation
login.cadastro.p.2,Nós garantimos que:,Nós garantimos que:,We promise that:,"Мы гарантируем, что:",We promise that:,needs translation
login.cadastro.li.1,Seus dados são analisados de forma anônima.,Seus dados são analisados de forma anônima.,Your data is analysed anonymously.,Ваши данные анализируются анонимно.,Your data is analysed anonymously.,needs translation
login.cadastro.li.2,Não enviaremos mensagens de e-mail com conteúdo de propaganda.,Não enviaremos mensagens de e-mail com conteúdo de propaganda.,We will not send any kind of spam.,Мы не будем рассылать никакой спам.,We will not send any kind of spam.,needs translation
login.informed.consent,Termo de Consentimento,Termo de Consentimento,Informed consent term,Informed consent term,Informed consent term,needs translation
###################################,,,,,,ok
# FOR RESEARCHERS,,,,,,ok
###################################,,,,,,ok
pesquisadores.titlepage,Para pesquisadores,Para investigadores,For researchers,Для исследователей,Für Forscher,ok
pesquisadores.h1.1,Para pesquisadores,Para investigadores,For researchers,Для исследователей,Für Forscher,ok
pesquisadores.img.title,Artigo sobre sites para tabagismo na internet,Artículo sobre sitios para el tabaquismo usados en internet.,Article about websites regarding tobacco use in the internet,Статья про сайты в интернете о курении,Artikel über Websites zur Tabakabhängigkeit,ok
pesquisadores.h2.1,Motivações do projeto,Motivaciones  del Proyecto,Rationale for the project,Целесообразность создания этого проекта,Motivation für das Projekt,ok
pesquisadores.p.1,O uso do tabaco está relacionado a 5 milhões de mortes anualmente,El uso del tabaco está relacionado con 5 millones de muertes anualmente.,Tobacco use is related to 5 million deaths annually,С Табакокурением связано с 5 млн смертей ежегодно,Der Tabakverbrauch ruft jährlich rund 5 Millionen Todesopfer hervor.,ok
pesquisadores.p.2,O uso da internet no país cresce exponencialmente,El uso de internet en el país crece exponencialmente.,The use of internet is growing exponentially,Пользование интернетом растет экспоненциально,Die Verwendung des Internets steigt exponentiell.,ok
pesquisadores.p.3a,Existem evidências de eficácia de intervenções para tabagismo na internet,Existen evidencias de la eficacia de intervenciones para el tabaquismo en internet.,Many web-based tobacco interventions show promise for helping people quit.,"Многие интервенционные программы в интернете действительно помогают людям бросить курить.  

Свободный доступ способствует распространению интервенций. Живи без Табака было полность разработано с помощью бесплатного програмного обеспечения, потому Вы можете содействовать изменениям в программе без проблем  лицензией.",Fakten belegen die Wirksamkeit des Vorgehens gegen die Tabakabhängigkeit über das Internet.,ok
pesquisadores.p.3b,"No entanto, não existem estudos de eficácia das intervenções em língua portuguesa","Sin embargo, no existen estudios de eficacia de las intervenciones en lengua portuguesa.","However, open-source interventions are not available and many countries have not tested these interventions, including Brazil.","Однако, программы свободного пользования не доступны и многие страны, включая Бразилию, не тестировали эти интервенционные программы.","Allerdings gibt es bisher keine Studien auf Portugiesisch, die die Wirksamkeit des Vorgehens belegen.",ok
